Province_State,Population,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,Average
Alabama,4903185,358,320,630,602,358,427,611,1249,2861,2241,625,342,885.3333333333334
Alaska,740995,1,4,9,14,19,26,40,84,56,28,23,34,28.166666666666668
Arizona,7278717,587,738,2049,1335,621,329,660,2225,4256,2860,987,357,1417.0
Arkansas,3017804,72,137,183,344,572,556,577,1174,1192,375,383,113,473.1666666666667
California,39512223,2137,1908,3158,3829,2882,1795,1570,6824,15079,11624,6439,2804,5004.083333333333
Colorado,5758736,668,245,148,107,106,234,752,1777,826,311,156,188,459.8333333333333
Connecticut,3565287,1687,378,110,33,43,108,404,975,1051,576,267,208,486.6666666666667
Delaware,973764,285,69,32,19,35,83,85,241,244,117,137,66,117.75
District of Columbia,705749,242,85,34,22,20,19,34,106,127,104,47,41,73.41666666666667
Florida,21477737,1183,1054,3338,4344,3130,2444,1836,3076,4806,4373,2573,1736,2824.4166666666665
Georgia,10617423,921,752,947,1881,1388,958,1473,1482,3264,3097,1760,1135,1588.1666666666667
Hawaii,1415872,1,1,8,44,66,83,25,44,122,29,24,20,38.916666666666664
Idaho,1787065,22,10,96,173,108,160,300,507,289,135,102,84,165.5
Illinois,12671821,3035,1533,769,543,681,1124,2945,4993,3275,1482,844,712,1828.0
Indiana,6732219,952,456,317,377,382,859,1928,2958,1906,1277,466,293,1014.25
Iowa,3155070,373,181,156,248,238,358,710,1465,1010,570,272,207,482.3333333333333
Kansas,2913314,81,58,85,93,227,351,531,1176,1031,925,178,75,400.9166666666667
Kentucky,4467673,191,134,170,198,241,311,423,715,1122,892,1453,411,521.75
Louisiana,4648794,886,430,728,1001,561,408,501,1068,1371,749,533,241,706.4166666666666
Maine,1344212,36,16,18,9,9,6,47,153,243,113,40,41,60.916666666666664
Maryland,6045680,1392,658,303,262,194,198,494,1254,1232,742,417,458,633.6666666666666
Massachusetts,6892503,3284,1208,555,451,396,535,757,1675,2154,1541,1067,425,1170.6666666666667
Michigan,9986857,1740,462,257,303,330,616,1865,3454,2507,983,611,1634,1230.1666666666667
Minnesota,5639632,707,426,164,226,223,422,1141,1730,886,283,375,311,574.5
Mississippi,2976149,473,339,590,810,496,365,473,980,1258,636,351,167,578.1666666666666
Missouri,6626371,378,207,249,292,528,957,835,1834,1347,1210,572,285,724.5
Montana,1068778,1,5,38,44,76,195,306,280,272,124,80,134,129.58333333333334
Nebraska,1934408,100,104,58,65,81,174,366,633,269,162,98,64,181.16666666666666
Nevada,3080156,174,90,323,475,295,177,367,978,1148,687,292,215,435.0833333333333
New Hampshire,1359711,173,126,44,17,7,44,43,233,298,113,68,65,102.58333333333333
New Jersey,8882190,4781,1517,784,126,177,228,643,2049,2442,1768,1309,993,1401.4166666666667
New Mexico,2096829,233,141,145,137,98,141,550,909,806,433,221,130,328.6666666666667
New York,19453561,6157,1371,605,282,367,406,895,3358,5651,3981,2684,1959,2309.6666666666665
North Carolina,10488084,531,443,562,760,830,846,883,1487,2587,1877,900,539,1020.4166666666666
North Dakota,762062,42,18,24,40,103,278,409,366,148,28,23,25,125.33333333333333
Ohio,11689100,1046,466,602,699,556,850,2741,5476,3645,1336,542,156,1509.5833333333333
Oklahoma,3956971,112,53,154,259,231,306,406,746,1058,881,525,1835,547.1666666666666
Oregon,4217737,50,54,115,137,100,130,223,565,480,251,175,112,199.33333333333334
Pennsylvania,12801989,3080,1094,558,452,471,670,1535,5612,5670,2350,1107,1118,1976.4166666666667
Rhode Island,1059361,463,150,49,52,47,91,199,515,411,161,117,52,192.25
South Carolina,5148714,250,245,973,1008,658,557,446,915,1746,1504,600,351,771.0833333333334
South Dakota,884659,45,29,39,37,56,202,521,542,290,110,47,32,162.5
Tennessee,6829174,165,240,456,694,700,899,1249,2305,2743,1761,493,293,999.8333333333334
Texas,28995881,942,980,4811,5448,3183,2500,3483,5795,9008,6623,4555,1967,4107.916666666667
Utah,3205958,67,59,132,103,52,145,267,398,396,270,187,80,179.66666666666666
Vermont,623989,6,1,1,1,0,0,11,67,38,30,23,19,16.416666666666668
Virginia,8535519,823,388,411,406,628,446,408,970,1432,2088,1700,518,851.5
Washington,7614893,287,180,300,309,188,245,417,699,824,671,291,252,388.5833333333333
West Virginia,1792147,34,18,23,99,140,104,276,603,686,276,376,3,219.83333333333334
Wisconsin,5822434,293,165,163,208,216,937,1155,1748,1192,580,301,235,599.4166666666666
Wyoming,578759,9,4,6,11,13,37,128,223,158,75,29,7,58.333333333333336
