Combined_Key,Population,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21
"Los Angeles, California, US",10039107,3.9363141499638146,2.0655489365186597,1.4794960503477348,2.179345069231781,2.7759279380323156,1.3264021008065596,0.6234679739955239,0.7304003826292793,1.8559530323163371,6.222074024674892,6.171680329348886,7.902352155524227
"Cook, Illinois, US",5150233,4.914034579348981,7.319007215922607,2.146152303269372,0.8157844811231265,0.884299708763569,0.5882619123037242,0.8148471840217978,1.6314746285072697,1.6755026507952384,2.37923228820498,1.3027929155313351,0.7846460890723679
"Harris, Texas, US",4713325,2.6013513513513513,1.4937846025279433,1.8705313079274897,2.33097460902658,1.1278612204178906,1.1092330445806042,0.6688963210702341,0.8503916562080756,1.0697261250891439,2.513288475128276,2.6084375347853515,2.850877192982456
"Maricopa, Arizona, US",4485414,4.911860345712818,0.8742295690744515,1.8675128455189882,5.518710069972619,5.302657480314961,1.2658976634131913,0.8017570420282748,0.996739389762214,1.527937479292939,4.401595744680851,3.9640667332097532,1.58817517100401
"San Diego, California, US",3338330,3.6799209681402814,1.4397120575884823,1.315524531847775,1.2662201758057765,1.177705223880597,1.128526645768025,0.419088285296327,0.7300957145964759,1.31599694349097,3.016009796362647,2.6579050608081602,2.5046856363946155
"Orange, California, US",3175692,2.3781767311727675,1.3014160485502362,1.337374320488767,4.647579920400565,5.042899667308703,3.138227995913005,0.37972126843062004,0.314571633661276,1.8753752330394664,5.609500065608188,16.49710752044684,5.506721820062047
"Miami-Dade, Florida, US",2716940,5.861546235472461,1.5462274176408077,0.7594130472060948,2.148356221389929,6.2490733876945885,2.3691175521270416,0.4299403114780342,0.5097104902173129,0.9365571286196022,1.4379355908490297,1.2260051227444095,0.8019626981823939
"Dallas, Texas, US",2635516,2.1184544233925107,1.5940201729106627,1.2349387537131604,1.1126863427417624,0.9392821200939282,1.0841283607979184,0.8933510344064609,0.590608950843727,1.2454178745072777,2.6819573262667333,4.079941057284951,1.6868109974764245
"Kings, New York, US",2559903,22.86991251426398,5.89307411907655,3.9768864717878993,2.1015067406819985,0.9997500624843789,0.9206892016309352,0.7500876270592358,0.6988861501981217,1.2922058966624501,2.015244254532856,1.5538806051668579,1.8594961614135257
"Riverside, California, US",2470546,5.036179450072359,1.365953109072375,1.2072026375855947,2.0379922002767645,3.186576354679803,1.0757663389242338,0.6362178658252728,0.5828056241279381,1.2106352003677878,3.854047890535918,10.9359409299541,6.492855352218601
