State/Territory,Births,Fertility Rate,Deaths,Death Rate
Alabama,"57,647",60.6,"64,779","1,316.20"
Alaska,"9,469",65.7,"5,170",707.1
Arizona,"76,947",54,"75,747","1,020.70"
Arkansas,"35,251",60.7,"38,108","1,257.50"
California,"420,259",52.4,"319,808",812.4
Colorado,"61,494",51.5,"46,918",807.9
Connecticut,"33,460",49.9,"37,853","1,064.20"
Delaware,"10,392",57,"11,072","1,122.00"
District of Columbia,"8,874",46.1,"6,198",869.5
Florida,"209,671",53.4,"239,685","1,102.80"
Georgia,"122,473",55.7,"103,075",962.4
Hawaii,"15,785",61.1,"12,033",855.2
Idaho,"21,533",60.9,"16,402",897.8
Illinois,"133,298",53.8,"132,663","1,053.90"
Indiana,"78,616",59.8,"78,194","1,157.60"
Iowa,"36,114",60.4,"35,981","1,137.40"
Kansas,"34,376",61.1,"32,060","1,100.30"
Kentucky,"51,668",60.8,"55,880","1,248.10"
Louisiana,"57,328",62.2,"56,752","1,221.70"
Maine,"11,539",49.2,"15,740","1,165.80"
Maryland,"68,554",57.7,"60,072",992
Massachusetts,"66,428",47.6,"68,223",989.7
Michigan,"104,074",55.6,"117,106","1,175.00"
Minnesota,"63,443",58.3,"52,372",925.7
Mississippi,"35,473",61,"40,190","1,354.70"
Missouri,"69,285",58.7,"73,887","1,201.10"
Montana,"10,791",54.3,"12,027","1,113.00"
Nebraska,"24,291",64.7,"19,549","1,009.00"
Nevada,"33,653",54.8,"30,618",975.6
New Hampshire,"11,791",47.7,"13,700","1,002.70"
New Jersey,"97,954",58.6,"96,003","1,080.80"
New Mexico,"21,903",54.6,"23,807","1,130.30"
New York,"209,338",54.6,"203,341","1,051.60"
North Carolina,"116,730",56.2,"109,449","1,032.50"
North Dakota,"10,059",67.4,"8,052","1,052.10"
Ohio,"129,191",58.3,"143,700","1,228.90"
Oklahoma,"47,623",61,"47,809","1,201.00"
Oregon,"39,820",47.8,"40,220",948.2
Pennsylvania,"130,693",54.9,"155,546","1,216.80"
Rhode Island,"10,101",48.7,"11,819","1,118.00"
South Carolina,"55,704",55.9,"61,223","1,173.30"
South Dakota,"10,960",66.7,"9,861","1,104.60"
Tennessee,"78,689",58.5,"84,205","1,222.70"
Texas,"368,190",60.2,"250,339",852.6
Utah,"45,702",64.1,"21,497",661.5
Vermont,"5,133",44.7,"6,459","1,036.20"
Virginia,"94,749",55.8,"80,596",938.2
Washington,"83,086",54,"63,146",820.8
West Virginia,"17,323",55.3,"26,106","1,462.70"
Wisconsin,"60,594",55.4,"62,706","1,075.10"
Wyoming,"6,128",56.4,"5,983","1,027.40"
Puerto Rico,"18,933",31.2,,
Virgin Islands,876,46.5,,
Guam,"2,935",89.6,,
American Samoa,,,,
Northern Marianas,628,69.7,,
